NAME,MSTAR,A,PER,ECC,MASS,R
,msun,au,day,,mjupiter,rjupiter
Kepler-107 d,,0.0780099,7.958203,,0.00371234,0.095459
Kepler-1049 b,0.51,0.0344721,3.27346074,0,0.00245309,0.085
Kepler-813 b,0.95,0.13761,19.12947337,0,0.0159697,0.191
Kepler-427 b,0.96,0.091351,10.290994,0,0.29,1.23
Kepler-1056 b,1.12,0.185149,27.495606,0,0.0271261,0.269
Kepler-1165 b,1.13,0.0912977,9.478522,0,0.0115843,0.138
Kepler-1104 b,1.3,0.0627651,5.03728015,0,0.00609283,0.11
WASP-14 b,1.31,0.0367693,2.243752,0.091,7.69234,1.281
Kepler-50 b,1.23,0.0825598,7.8125124,,0.0164915,0.196096
NN Ser d,,3.70596,2605,0.05,0.642621,
Kepler-1279 b,1.21,0.170989,23.4774101,0,0.0129028,0.156
Kepler-1599 b,0.99,0.48075,122.363553,0,0.0120821,0.145
Kepler-20 b,0.912,0.0453704,3.6961219,0,0.0266646,0.170247
HAT-P-27 b,0.92,0.0399488,3.039577,0,0.617485,1.02
Kepler-181 b,,0.0419466,3.137873,,0.00674351,0.113302
HD 116029 b,1.33,1.64869,670,0,1.9075,
Kepler-207 b,,0.0269045,1.611865,,0.0117295,0.140066
Kepler-1156 b,1,0.101981,11.89520511,0,0.00774372,0.118
Kepler-1512 b,0.73,0.13139,20.35972599,0,0.00518721,0.105
Kepler-787 b,0.65,0.0161327,0.9283105,0,0.00688654,0.114
Kepler-528 b,1.01,0.143629,19.78297415,0,0.0154788,0.186
HD 219828 b,1.24,0.0515012,3.8334999,0,0.0622185,
Kepler-480 b,1.25,0.0609811,4.9195838,0,0.0233514,0.248
Kepler-1567 b,0.95,0.5527,153.979578,0,0.0227057,0.244
Kepler-1390 b,0.98,0.0675681,6.48021673,0,0.00518721,0.105
Kepler-1642 b,0.88,0.0994208,12.2057513,0,0.0304768,0.285
Kepler-11 c,0.961,0.106909,13.0241,0.0256125,0.00912437,0.255816
Kepler-871 b,1.11,0.159318,22.0459018,0,0.0437521,0.334
Kepler-1131 b,1.03,0.0458416,3.53232449,0,0.0118667,0.142
Kepler-705 b,0.53,0.231978,56.0560538,0,0.0156727,0.188
HD 1237 b,0.9,0.494668,133.71001,0.511,3.3748,
WASP-21 b,1.01,0.0521087,4.322482,0,0.300272,1.07
Kepler-284 c,,0.219317,37.514456,,0.0210192,0.232849
Kepler-186 c,0.478,0.0574114,7.267302,0.03,0.00636705,0.111418
HD 4308 b,0.933,0.119192,15.56,0,0.0477376,
Kepler-239 b,,0.101225,11.763051,,0.0177874,0.207869
Kepler-651 b,0.92,0.146649,21.38521506,0,0.0181548,0.211
Kepler-80 f,0.72,0.017386,0.98678706,0,0.00609283,0.11
Kepler-1217 b,1.06,0.0320163,2.03232507,0,0.0147338,0.178
Kepler-895 b,0.65,0.0337283,2.80624233,0,0.0115145,0.137
Kepler-628 b,1,0.121444,15.4580567,0,0.243389,0.749
Kepler-174 b,,0.113583,13.98179,,0.014454,0.174859
Kepler-440 b,0.575,0.353207,101.11141,0,0.0136945,0.165939
Kepler-403 d,0,0,13.61159129,0,0.00991268,0.127
Kepler-224 d,,0.0988375,11.349393,,0.0174811,0.205192
Kepler-389 c,,0.116434,14.51143,,0.0107805,0.130252
Kepler-674 b,0.6,0.0282874,2.24338185,0,0.0125233,0.151
Kepler-1047 c,1.08,0.0435026,3.18897601,0,0.00277643,0.088
Kepler-1247 b,0.86,0.106621,13.71220213,0,0.0178026,0.208
Kepler-1210 b,0.94,0.0771394,8.07124073,0,0.0125983,0.152
Kepler-254 c,,0.104915,12.412183,,0.0160511,0.19181
Kepler-236 c,,0.162691,23.968127,,0.0147725,0.178428
WASP-25 b,1,0.0473714,3.764825,0,0.57847,1.22
Kepler-186 d,0.478,0.0860831,13.342996,0.03,0.00934866,0.12479
Kepler-1646 b,0.24,0.0330793,4.48558383,0,0.00609283,0.11
HD 24040 b,1.18,4.92406,3668,0.04,4.02189,
Kepler-359 c,,0.292189,57.68802,,0.0607789,0.38362
Kepler-211 c,,0.0649112,6.04045,,0.00711292,0.115086
Kepler-967 b,0.84,0.103279,13.22713379,0,0.0180364,0.21
Kepler-1574 b,1.06,0.0726189,6.9424334,0,0.00709482,0.115
Kepler-1157 b,0.76,0.0483728,4.45743164,0,0.00392895,0.097
Kepler-549 b,0.88,0.230006,42.9495649,0,0.020474,0.229
Kepler-1510 b,1.19,0.399998,84.703921,0,0.0340314,0.3
Kepler-1002 b,1.22,0.0556094,4.33642933,0,0.0126737,0.153
Kepler-294 c,,0.0690438,6.6264,,0.0223552,0.24177
Kepler-263 c,,0.256083,47.332773,,0.019315,0.220359
Kepler-349 b,,0.0641159,5.929778,,0.0139923,0.169507
Kepler-1563 b,1,0.0445351,3.43276598,0,0.00105753,0.067
Kepler-1611 b,0.94,0.0573666,5.1762429,0,0.00136198,0.072
Kepler-1284 b,0.84,0.0140554,0.66407381,0,0.00571923,0.108
HD 200964 b,1.57,1.64347,613.8,0.04,1.94873,
Kepler-706 b,0.87,0.223617,41.40831347,0,1,1.175
HD 147018 b,0.927,0.238855,44.236,0.4686,2.12711,
HD 218566 b,0.85,0.687282,225.7,0.3,0.212872,
HD 45364 b,0.82,0.68156,226.93,0.1684,0.187149,
Kepler-1177 b,0.98,0.436075,106.247547,0,0.014034,0.17
Kepler-1364 b,1.49,0.125617,13.32196237,0,0.0160703,0.192
Kepler-653 b,1.02,0.118258,14.70748976,0,0.0143786,0.174
Kepler-553 b,0.92,0.0482066,4.03046804,0,0.0707577,0.413
Kepler-361 b,,0.081426,8.486616,,0.010538,0.12936
Kepler-318 c,,0.101523,11.815007,,0.0419521,0.328308
Kepler-372 b,,0.0705863,6.849692,,0.00850717,0.121331
Kepler-197 e,,0.168262,25.209715,,0.00208313,0.0811848
HD 141937 b,1.048,1.50087,653.21997,0.41,9.4752,
Kepler-405 c,,0.187804,29.726682,,0.071727,0.415737
Kepler-104 d,,0.271796,51.755394,,0.0392746,0.319386
Kepler-702 b,0.9,0.0907551,10.52629406,0,0.531485,0.818
Kepler-26 d,,0.0454914,3.543919,,0.00371234,0.095459
Kepler-159 b,,0.0916828,10.139623,,0.0183139,0.212329
HD 156668 b,0.772,0.0499846,4.6455,0,0.0130582,
MOA-2009-BLG-387L b,0.19,1.76808,1970,,2.6,
Kepler-1045 b,0.86,0.165053,26.41045478,0,0.0220818,0.24
Kepler-905 b,0.95,0.0568739,5.08274652,0,0.00965491,0.126
Kepler-763 b,0.84,0.0208123,1.19655156,0,0.00590412,0.109
Kepler-1376 b,0.98,0.059158,5.30880656,0,0.00351465,0.094
Kepler-32 f,0.54,0.0130732,0.74296,0,0.00143611,0.0730903
WASP-103 b,1.22,0.0198682,0.925542,0,1.48791,1.528
Kepler-990 c,1.05,0.0131638,0.53835431,0,0.0124263,0.136
Kepler-221 e,,0.136253,18.369917,,0.0212781,0.234633
Kepler-1028 b,0.9,0.0349411,2.51462432,0,0.00796813,0.119
Kepler-256 c,,0.0441473,3.38802,,0.0160511,0.19181
GJ 649 b,0.54,1.13179,598.3,0.3,0.325341,
Kepler-1333 b,0.94,0.439185,109.6471842,0,0.0238504,0.251
Kepler-276 b,,0.114376,14.12841,,0.0247188,0.256044
Kepler-1042 b,0.75,0.0832577,10.13202575,0,0.0163773,0.195
Kepler-264 c,,0.52792,140.101261,,0.0241007,0.252476
HD 132406 b,1.09,1.98227,974,0.34,5.60495,
Kepler-143 b,,0.124306,16.007583,,0.0186399,0.215006
Kepler-1225 b,1.13,0.0746694,7.01075434,0,0.0133743,0.162
Kepler-189 c,,0.144846,20.134866,,0.0183139,0.212329
HD 38529 c,1.34,3.6002,2146.0503,0.355094,12.2603,
Kepler-62 b,0.69,0.0552794,5.714932,0.0707107,0,0.116766
Kepler-281 b,,0.117153,14.646008,,0.0239491,0.251584
Kepler-1006 b,0.78,0.13168,19.76172042,0,0.0115145,0.137
Kepler-196 c,,0.256426,47.427737,,0.0168894,0.199839
Kepler-238 c,,0.0657332,6.155557,,0.0184218,0.213222
Kepler-49 c,0.55,0.07889,10.9129343,,0.0202381,0.227293
Kepler-55 c,0.62,0.202122,42.1516418,,0.016585,0.196987
Kepler-791 b,1.3,0.127324,14.5539759,0,0.0277215,0.272
WASP-19 b,0.93,0.0163152,0.78884,0.0046,1.13339,1.386
Kepler-310 d,,0.401368,92.876125,,0.019315,0.220359
Kepler-619 c,1.09,0.022851,1.20846503,0,0.0125233,0.151
Kepler-204 c,,0.170262,25.660593,,0.0131908,0.159693
Kepler-26 b,0.65,0.0902469,12.282356,0,0.0397121,0.320884
Kepler-374 c,,0.0432285,3.282807,,0.00409374,0.0981354
Kepler-395 b,,0.0719854,7.054346,,0.00324127,0.0918904
HD 126614 A b,1.145,2.36847,1244,0.41,0.385706,
Kepler-875 b,1.06,0.181834,27.5073799,0,0.0252452,0.259
Kepler-1508 b,1.14,0.154158,20.7056504,0,0.00796813,0.119
Kepler-1568 b,1.09,0.152944,20.925392,0,0.00730709,0.116
Kepler-80 e,,0.0544864,4.645387,,0.0121773,0.146311
Kepler-83 d,,0.0585134,5.169796,,0.014298,0.173075
Kepler-519 b,0.89,0.157968,24.3078946,0,0.0155754,0.187
Kepler-192 d,0,0,6.47027579,0,0.00313024,0.091
Kepler-167 b,0.77,0.0481157,4.393147,,0.010538,0.12936
Kepler-772 b,0.98,0.107432,12.99207337,0,0.0133743,0.162
Kepler-295 d,,0.204929,33.884054,,0.00850717,0.121331
Kepler-337 b,,0.043316,3.292781,,0.0115417,0.13739
HD 177830 b,1.17,1.13872,410.1,0.096,1.31967,
Kepler-516 b,1.62,0.195757,24.85462415,0,0.110157,0.512
Kepler-1562 b,1.02,0.316103,64.2737752,0,0.0385876,0.317
Kepler-226 d,,0.0789926,8.109044,,0.00587447,0.108841
HD 38283 b,1.085,1.02382,363.2,0.41,0.338157,
